"p15ymas.an","p15ymas.se","ocupada.ss","solicitudes.mu","personal.mu","pobreza.mu","carencias.mu","di.urb","mean.rwi"
177.995165998213,222.548989394253,16392.6232899654,7.45941802852372,103.610632065917,25.5,27.9,21.9209,0.148
211.5152181079,285.447439056933,14653.4063279424,7.9179720877243,97.2087724295073,30.1,38.4,13.8671,0.33
218.493661446682,319.164802386279,17505.6179775281,106.382978723404,518.547398908321,41.2,30.3,11.1931,0.036
331.325566833932,400.421542776009,16051.6279637899,11.0645374785752,79.2166578987561,33.9,24.5,30.6487,-0.002
783.552652339929,625.769194357664,16031.818807024,11.7332332097433,187.966396020087,62.6,19,7.7069,-0.038
391.231211677248,489.988604916165,15251.10764787,12.0261921616578,127.340884226784,38.4,31.4,32.3739,-0.135
879.126807163922,982.701575199597,15858.0627850818,11.0331379013945,139.068854478043,63.6,23.1,0.379,-0.239
838.076629003483,1038.9941381361,16377.2965879265,12.077668700257,215.230249914837,64.7,21.2,2.4954,-0.077
831.306885291461,1632.39074550129,16363.4531068891,18.6942766752948,133.975649506279,79.1,15.7,9.2738,-0.263
788.115715402658,850.664581704457,18780.6691449814,56.1482313307131,951.15103874228,61.5,27.6,14.2142,-0.278
891.34438305709,784.530386740332,16271.5173025732,38.9563326689618,384.12755934046,67,24,7.6118,0.285
897.14865215443,1015.30624277729,16080.1070840198,11.6760952506249,124.490198658071,71.2,22.2,23.5827,-0.264
1124.5005593735,1266.10196579831,13444.1621086179,16.4805377859699,129.458961292421,69.6,26.6,36.5412,-0.363
1319.39684715559,1324.78214040928,15515.625,6.30616427557938,175.941983288665,82.9,16.1,32.328,-0.204
199.750312109863,187.265917602996,13564.5933014354,328.685258964143,1404.38247011952,48.8,34.2,18.9172,0.002
168.346448663256,239.64512126723,16042.1342832048,7.57381414837346,93.3289356347956,25.2,24.9,105.7303,0.411
206.690561529271,230.585424133811,18565.8955301999,16.9204737732657,134.929931884247,29.4,28.7,5.5168,0.212
419.340562071255,413.808364682452,15522.8102189781,25.0545542713974,154.772488482987,25.3,64.3,20.5919,-0.024
746.018440905281,947.191953059514,28025.2100840336,18.1598062953995,1301.45278450363,61.1,22.9,14.5949,-0.16
157.887250485989,216.680100516808,21900.8855890509,5.15127579930629,93.7532195473746,30.3,18.5,20.8787,0.039
363.938053097345,407.079646017699,19513.9289145053,NA,115.584211353986,45.9,25.9,33.5945,-0.229
343.24942791762,320.366132723112,20483.1932773109,62.3973727422003,262.725779967159,64.1,25.2,19.0675,0.032
286.940643600749,364.722900709052,17712.5014455881,6.44559409719277,124.840980408786,43.9,25,42.5995,0.111
149.340316913081,228.402837631771,19852.263292009,6.42284107709833,74.2868222690807,28,16.9,6.2478,0.418
461.03053885155,499.941044688126,19514.5631067961,31.2949336039922,131.946206546562,37.2,53.1,20.0103,-0.239
672.682526661198,451.189499589828,21966.6666666667,0,735.744941753525,51.2,31,21.4812,0.054
489.938757655293,621.172353455818,14102.5641025641,0,570.276497695853,58.1,28.6,26.0504,0.394
308.880308880309,298.069498069498,18371.0033076075,21.3843556555993,140.686550365785,68.7,19.6,8.9013,-0.123
284.48275862069,215.51724137931,18585.8585858586,294.670846394984,583.07210031348,59,33.3,5.9725,-0.073
310.421286031042,280.857354028086,28033.0882352941,169.971671388102,339.943342776204,59.1,17.7,16.8636,-0.28
310.065890444155,336.837489470222,17108.9451048885,5.79851423577263,70.5065716494672,42.6,28.3,0.6855,0.106
118.416530992795,168.554833839411,19114.4988647421,13.9994786980905,58.7725862460377,19.4,21.9,20.4803,0.516
170.109356014581,183.995834056587,19772.4477244772,39.2405063291139,187.341772151899,36.9,26,10.8688,0.12
249.922203205228,331.997821689746,21079.0464240903,5.99537101586682,96.9019268843591,38.5,16.2,81.9825,0.027
226.185297955633,269.682470639408,22001.6785564415,76.0330578512397,256.198347107438,49.2,18,16.6448,-0.064
176.717379327881,294.105182862228,21630.6576249803,8.13718694433561,88.3035472107531,31.3,12.3,13.0826,0.369
388.491310062801,552.066598510296,22541.7492216247,0,NA,47.9,27.9,98.3547,-0.113
351.118866134019,339.792451097438,16384.9475632326,13.4864798039965,122.502191552968,39.1,20.9,8.1385,-0.099
141.851676534722,193.843264761343,16963.4546700819,5.04738301697395,65.6159792206614,22.6,23.1,11.0552,0.651
338.474721508141,467.00942587832,26768.4210526316,3.11332503113325,221.046077210461,57.8,17.6,4.2029,0.135
